criterion,max_depth,max_features,min_samples_leaf,min_samples_split,score
gini,20.0,sqrt,1,3,0.9304228908058068
gini,20.0,sqrt,1,4,0.9345255628024407
gini,20.0,sqrt,2,2,0.9345255628024406
gini,20.0,sqrt,2,3,0.9283610351357037
gini,20.0,sqrt,2,4,0.9365453397853987
gini,20.0,sqrt,3,2,0.9364611824111087
gini,20.0,sqrt,3,3,0.9222175468125396
gini,20.0,sqrt,3,4,0.9385230380812117
gini,20.0,sqrt,4,2,0.9488112770881548
gini,20.0,sqrt,4,3,0.9120555438670314
gini,20.0,sqrt,4,4,0.952892909741216
gini,20.0,log2,1,2,0.9447506837786662
gini,20.0,log2,1,3,0.9079528718703976
gini,20.0,log2,1,4,0.9385019987376394
gini,20.0,log2,2,2,0.9427519461392805
gini,20.0,log2,2,3,0.934462444771723
gini,20.0,log2,2,4,0.9365663791289712
gini,20.0,log2,3,2,0.9427098674521355
gini,20.0,log2,3,3,0.9324426677887651
gini,20.0,log2,3,4,0.9467704607616243
gini,20.0,log2,4,2,0.950873132758258
gini,20.0,log2,4,3,0.9304649694929518
gini,20.0,log2,4,4,0.9447717231222386
gini,40.0,auto,1,2,0.9386492741426468
gini,40.0,auto,1,3,0.9386282347990743
gini,40.0,auto,1,4,0.9283820744792763
gini,40.0,auto,2,2,0.9325057858194825
gini,40.0,auto,2,3,0.9325057858194825
gini,40.0,auto,2,4,0.9345466021460132
gini,40.0,auto,3,2,0.9447506837786662
gini,40.0,auto,3,3,0.9406900904691774
gini,40.0,auto,3,4,0.9365453397853987
gini,40.0,auto,4,2,0.9427309067957079
gini,40.0,auto,4,3,0.950873132758258
gini,40.0,auto,4,4,0.9467704607616243
gini,40.0,sqrt,1,2,0.9345886808331579
gini,40.0,sqrt,1,3,0.9528718703976435
gini,40.0,sqrt,1,4,0.9284031138228487
gini,40.0,sqrt,2,2,0.952934988428361
gini,40.0,sqrt,2,3,0.938607195455502
gini,40.0,sqrt,2,4,0.9160319798022301
gini,40.0,sqrt,3,2,0.9384809593940668
gini,40.0,sqrt,3,3,0.94062697243846
gini,40.0,sqrt,3,4,0.9304018514622345
gini,40.0,sqrt,4,2,0.9590995160950978
gini,40.0,sqrt,4,3,0.930422890805807
gini,40.0,sqrt,4,4,0.9508941721018305
gini,40.0,log2,1,2,0.9243004418262151
gini,40.0,log2,1,3,0.9365663791289712
gini,40.0,log2,1,4,0.9284241531664212
gini,40.0,log2,2,2,0.9386071954555018
gini,40.0,log2,2,3,0.9283820744792763
gini,40.0,log2,2,4,0.9467704607616243
gini,40.0,log2,3,2,0.9427519461392805
gini,40.0,log2,3,3,0.9385019987376395
gini,40.0,log2,3,4,0.930380812118662
gini,40.0,log2,4,2,0.9201136124552913
gini,40.0,log2,4,3,0.9241952451083526
gini,40.0,log2,4,4,0.9223437828739744
entropy,,auto,1,2,0.9508520934146855
entropy,,auto,1,3,0.9283820744792763
entropy,,auto,1,4,0.9406269724384598
entropy,,auto,2,2,0.9426467494214181
entropy,,auto,2,3,0.9426888281085631
entropy,,auto,2,4,0.9283189564485589
entropy,,auto,3,2,0.9488533557752998
entropy,,auto,3,3,0.9385861561119293
entropy,,auto,3,4,0.9386282347990743
entropy,,auto,4,2,0.934504523458868
entropy,,auto,4,3,0.9385861561119293
entropy,,auto,4,4,0.9324637071323375
entropy,,sqrt,1,2,0.9365663791289712
entropy,,sqrt,1,3,0.9344834841152956
entropy,,sqrt,1,4,0.9467915001051967
entropy,,sqrt,2,2,0.9488533557752998
entropy,,sqrt,2,3,0.9386071954555018
entropy,,sqrt,2,4,0.9385861561119293
entropy,,sqrt,3,2,0.9385440774247844
entropy,,sqrt,3,3,0.9508731327582579
entropy,,sqrt,3,4,0.9263412581527456
entropy,,sqrt,4,2,0.9386071954555018
entropy,,sqrt,4,3,0.9406900904691774
entropy,,sqrt,4,4,0.9324426677887651
entropy,,log2,1,2,0.9304228908058068
entropy,,log2,1,3,0.938565116768357
entropy,,log2,1,4,0.9324005891016199
entropy,,log2,2,2,0.9365243004418262
entropy,,log2,2,3,0.9488323164317272
entropy,,log2,2,4,0.9407111298127498
entropy,,log2,3,2,0.9324426677887651
entropy,,log2,3,3,0.9488954344624447
entropy,,log2,3,4,0.9304018514622344
entropy,,log2,4,2,0.9262991794656006
entropy,,log2,4,3,0.9385861561119293
entropy,,log2,4,4,0.9345676414895856
entropy,5.0,auto,1,2,0.9324216284451925
entropy,5.0,auto,1,3,0.9509152114454029
entropy,5.0,auto,1,4,0.9222175468125396
entropy,5.0,auto,2,2,0.9386913528297918
entropy,5.0,auto,2,3,0.938565116768357
entropy,5.0,auto,2,4,0.9467704607616243
entropy,5.0,auto,3,2,0.9631390700610141
entropy,5.0,auto,3,3,0.9550178834420366
entropy,5.0,auto,3,4,0.9488323164317274
entropy,5.0,auto,4,2,0.9446875657479487
entropy,5.0,auto,4,3,0.9488323164317274
entropy,5.0,auto,4,4,0.9386282347990743
entropy,5.0,sqrt,1,2,0.9119713864927415
entropy,5.0,sqrt,1,3,0.9284031138228487
entropy,5.0,sqrt,1,4,0.9427309067957079
entropy,5.0,sqrt,2,2,0.9468756574794867
entropy,5.0,sqrt,2,3,0.9508941721018305
entropy,5.0,sqrt,2,4,0.9406690511256048
entropy,5.0,sqrt,3,2,0.9631601094045866
entropy,5.0,sqrt,3,3,0.9467915001051967
entropy,5.0,sqrt,3,4,0.9386282347990743
entropy,5.0,sqrt,4,2,0.9345886808331579
entropy,5.0,sqrt,4,3,0.9365453397853987
entropy,5.0,sqrt,4,4,0.9426467494214181
entropy,5.0,log2,1,2,0.9222175468125394
entropy,5.0,log2,1,3,0.9508941721018305
entropy,5.0,log2,1,4,0.944750683778666
entropy,5.0,log2,2,2,0.9386071954555018
entropy,5.0,log2,2,3,0.9467704607616243
entropy,5.0,log2,2,4,0.9549758047548916
entropy,5.0,log2,3,2,0.9611403324216283
entropy,5.0,log2,3,3,0.9323795497580475
entropy,5.0,log2,3,4,0.9529139490847885
