bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score
True,gini,5.0,log2,3,2,50,0.9631601094045864
True,gini,5.0,log2,3,2,100,0.9611192930780559
True,gini,5.0,log2,3,2,200,0.9631601094045864
True,gini,5.0,log2,3,2,400,0.9631601094045866
True,gini,5.0,log2,3,2,600,0.9611192930780559
True,gini,5.0,log2,3,3,10,0.9652009257311172
True,gini,5.0,log2,3,3,50,0.9611192930780559
True,gini,5.0,log2,3,3,100,0.9611192930780559
True,gini,5.0,log2,3,3,200,0.9631601094045866
True,gini,5.0,log2,3,3,400,0.9631601094045866
True,gini,5.0,log2,3,3,600,0.9611192930780559
True,gini,5.0,log2,3,4,10,0.9590363980643802
True,gini,5.0,log2,3,4,50,0.9652009257311172
True,gini,5.0,log2,3,4,100,0.9611192930780559
True,gini,5.0,log2,3,4,200,0.9631601094045866
True,gini,5.0,log2,3,4,400,0.9611192930780559
True,gini,5.0,log2,3,4,600,0.9631601094045866
True,gini,5.0,log2,4,2,10,0.9590363980643802
True,gini,5.0,log2,4,2,50,0.9610982537344833
True,gini,5.0,log2,4,2,100,0.9631601094045866
True,gini,5.0,log2,4,2,200,0.9611192930780559
True,gini,5.0,log2,4,2,400,0.9611192930780559
True,gini,5.0,log2,4,2,600,0.9611192930780559
True,gini,5.0,log2,4,3,10,0.9611192930780559
True,gini,5.0,log2,4,3,50,0.9631601094045864
True,gini,5.0,log2,4,3,100,0.9611192930780559
True,gini,5.0,log2,4,3,200,0.9631601094045864
True,gini,5.0,log2,4,3,400,0.9611192930780559
True,gini,5.0,log2,4,3,600,0.9611192930780559
True,gini,5.0,log2,4,4,10,0.9611192930780559
True,gini,5.0,log2,4,4,50,0.9631601094045864
True,gini,5.0,log2,4,4,100,0.9611192930780559
True,gini,5.0,log2,4,4,200,0.9611192930780559
True,gini,5.0,log2,4,4,400,0.9611192930780559
True,gini,5.0,log2,4,4,600,0.9611192930780559
True,gini,10.0,auto,1,2,10,0.9529560277719336
True,gini,10.0,auto,1,2,50,0.9631601094045864
